id,indexed_date,language,media_name,media_url,publish_date,title,url
635927d2a9e42a7470ae5ae1047165d3c672046a7a1ba1dca58cf6238d4af239,2026-08-31 04:27:33.191595+00:00,en,walesonline.co.uk,walesonline.co.uk,2026-08-31,The summer that Wales burned,https://www.walesonline.co.uk/news/wales-news/the-summer-that-wales-burned-34532274
f51c8a3e591b5fa547da29e3ad3a377dea10881b2c240ca3e78f1a93edb44d14,2026-08-27 23:25:39.429483+00:00,en,theconversation.com,theconversation.com,2026-08-27,Nepal’s catastrophic flood shows disaster preparedness must be a shared responsibility,https://theconversation.com/nepals-catastrophic-flood-shows-disaster-preparedness-must-be-a-shared-responsibility-290674
1b281f276dfb6d74870bcd420f99540dd15430b567ec60d823ec098e1047ca50,2026-08-25 17:25:49.572264+00:00,en,theconversation.com,theconversation.com,2026-08-25,"Britain’s quarter century: crime falls, sea-levels rise and education yet to recover from COVID",https://theconversation.com/britains-quarter-century-crime-falls-sea-levels-rise-and-education-yet-to-recover-from-covid-287427
6379b974a81698b9db948efd9ad973db9bd3abe2cf8a8ada43440fae7d1d40df,2026-08-23 21:23:49.268112+00:00,en,express.co.uk,express.co.uk,2026-08-23,Countryfile guest leaves Adam Henson gobsmacked 'it's quite a responsibility',https://www.express.co.uk/showbiz/tv-radio/2241744/bbc-countryfile-s-adam-henson-says-scary-after-yorkshire-farmer-s-admission
55499024ea7ff8456ec2c9859826446c6736a76643710decc8bfb9970f67b233,2026-08-21 12:28:09.526197+00:00,en,kidderminstershuttle.co.uk,kidderminstershuttle.co.uk,2026-08-21,Councillor concerns over 'neglected' parks fuelling anti-social behaviour,https://www.kidderminstershuttle.co.uk/news/26480082.kidderminster-county-council-park-concerns-fire/?ref=rss
3d7edbbc90c0ded5abd958ce8019f09af3f8f68d0a9b873a4f07832e6eee58b0,2026-08-20 19:37:49.610169+00:00,en,liverpoolecho.co.uk,liverpoolecho.co.uk,2026-08-20,Chester Zoo slams plans saying 'we have a responsibility to speak up',https://www.liverpoolecho.co.uk/whats-on/whats-on-news/chester-zoo-boss-slams-new-34491680
04fbbeb4a684630844c19dcbc70d8fa6397e85e299317bc509e32f2d4d9cac3d,2026-08-20 15:34:40.034781+00:00,en,opendemocracy.net,opendemocracy.net,2026-08-20,When the climate crisis reaches the supermarket shelf,https://www.opendemocracy.net/climate-crisis-food-supermarket-cost-poverty-heatwave-drought-andy-burnham/
5c1c8274c8d261bdb8474d11a5c9272acbc8665e233d8dba90c8048adab43d32,2026-08-15 07:24:56.166714+00:00,en,observer.co.uk,observer.co.uk,2026-08-15,How beavers make the environment a dam sight better,https://observer.co.uk/culture/in-real-life/article/how-beavers-make-the-environment-a-dam-sight-better
3db862313e597a6519f3f779c49091fd94d3ec643fecde7afa40db2b3f11a6ce,2026-08-12 23:23:47.021697+00:00,en,theconversation.com,theconversation.com,2026-08-12,‘Starwashing’: How space companies use the greenwashing playbook while engaging in environmentally damaging practices,https://theconversation.com/starwashing-how-space-companies-use-the-greenwashing-playbook-while-engaging-in-environmentally-damaging-practices-285904
30e5e8cefdc4da9658f568a4433555a9e2e82ad30eea5d41a994a372a0637f32,2026-08-11 17:45:42.387670+00:00,en,prnewswire.co.uk,prnewswire.co.uk,2026-08-11,Public Interest Registry Announces 2026 .ORG Impact Awards Finalists Honoring Global Changemakers,https://www.prnewswire.co.uk/news-releases/public-interest-registry-announces-2026-org-impact-awards-finalists-honoring-global-changemakers-302847522.html
